Contamination,Cleaning Type,Accuracy@5,Accuracy@10,Accuracy@50,Accuracy@100,Accuracy@150,Total Files,Clean Files,Rejected Files
0.05,Global,0.17008504252126064,0.19959979989994997,0.2183591795897949,0.21660830415207605,0.20860430215107553,5020,4769,"197    train_009143.jpg
Name: File, dtype: object"
0.05,By Class,0.17058529264632316,0.19834917458729365,0.21977655494413872,0.2179423044855761,0.21268967817241954,5020,4769,"197    train_009143.jpg
Name: File, dtype: object"
0.1,Global,0.16649991662497915,0.1932632983158246,0.21352342838085708,0.20677005169251292,0.2017675504418876,5020,4518,"186    train_008867.jpg
197    train_009143.jpg
Name: File, dtype: object"
0.1,By Class,0.16891779222944805,0.1949307987326997,0.2174420543605136,0.21168917792229447,0.2092713023178256,5020,4518,"186    train_008867.jpg
197    train_009143.jpg
Name: File, dtype: object"
0.2,Global,0.1582457895614474,0.18384192096048024,0.19826579956644988,0.1910121727530432,0.18184092046023012,5020,4016,"186    train_008867.jpg
187    train_008887.jpg
196    train_009140.jpg
197    train_009143.jpg
Name: File, dtype: object"
0.2,By Class,0.16499916624979155,0.19009504752376188,0.2111055527763882,0.2047690511922628,0.2001000500250125,5020,4016,"181    train_008719.jpg
186    train_008867.jpg
196    train_009140.jpg
197    train_009143.jpg
Name: File, dtype: object"
auto,Global,0.1662497915624479,0.1932632983158246,0.21377355344338836,0.2068534267133567,0.2008504252126063,5020,4527,"186    train_008867.jpg
197    train_009143.jpg
Name: File, dtype: object"
auto,By Class,0.1623311655827914,0.18442554610638653,0.20410205102551277,0.19909954977488745,0.19593129898282474,5020,3671,"181    train_008719.jpg
186    train_008867.jpg
187    train_008887.jpg
196    train_009140.jpg
197    train_009143.jpg
Name: File, dtype: object"
