Contamination,Cleaning Type,Accuracy@5,Accuracy@10,Accuracy@50,Accuracy@100,Accuracy@150,Total Files,Clean Files,Rejected Files
0.05,Global,0.17100216775054194,0.19893279973319994,0.21935967983991997,0.2168584292146073,0.2094380523595131,5020,4769,"183    train_008830.jpg
Name: File, dtype: object"
0.05,By Class,0.17342004335501085,0.2008504252126063,0.2215274303818576,0.22002668,0.21419042854760714,5020,4769,"196    train_009140.jpg
Name: File, dtype: object"
0.1,Global,0.16733366683341672,0.19384692346173085,0.21152242788060696,0.20743705185926298,0.19693179923294982,5020,4518,"183    train_008830.jpg
197    train_009143.jpg
Name: File, dtype: object"
0.1,By Class,0.17342004335501085,0.20068367517091878,0.2201934300483575,0.216274804,0.21060530265132565,5020,4518,"196    train_009140.jpg
197    train_009143.jpg
Name: File, dtype: object"
0.2,Global,0.16049691512422878,0.18442554610638653,0.20210105052526264,0.19067867266966818,0.17950641987660496,5020,4016,"183    train_008830.jpg
196    train_009140.jpg
197    train_009143.jpg
Name: File, dtype: object"
0.2,By Class,0.1727530431882608,0.20068367517091878,0.22027680506920128,0.21452392863098216,0.20910455227613806,5020,4016,"183    train_008830.jpg
188    train_008942.jpg
196    train_009140.jpg
197    train_009143.jpg
Name: File, dtype: object"
auto,Global,0.17266966816741705,0.2016008004002001,0.2215274303818576,0.22111055527763882,0.21577455394363848,5020,4982,38
auto,By Class,0.1730865432716358,0.19959979989994997,0.2183591795897949,0.21385692846423213,0.2070201767550442,5020,4059,"183    train_008830.jpg
196    train_009140.jpg
197    train_009143.jpg
Name: File, dtype: object"
